숙소번호,숙소명,지역,숙소종류,1박가격(만원),방개수,최대수용인원,평점,예약상태,lat,lon
J001,소담 포레스트,남원읍,리조트,27,3,6,3,가능,33.291179,126.739084
J002,노을 마루,대정읍,독채,38,3,10,3.4,가능,33.230335,126.245639
J003,해돋이 힐,대정읍,호텔,15,1,3,4.5,가능,33.209233,126.236604
J004,한라 스테이,남원읍,한옥스테이,19,3,,3.7,가능,33.274638,126.71364
J005,오름 마루,중문동,펜션,14,1,2,1.8,불가,,
J006,해돋이 쉼터,제주시,독채,22,2,7,4.7,불가,33.490281,126.553969
J007,귤꽃 코티지,제주시,,22,,4,2.1,가능,33.509446,126.536952
J008,해돋이 하우스,남원읍,펜션,28,3,3,3.1,가능,33.293772,126.722981
J009,돌담 하우스,중문동,독채,36,5,5,4.1,불가,33.261176,126.410256
J010,오름 빌리지,중문동,독채,16,2,10,3.1,가능,33.238343,126.400413
J011,노을 정원,대정읍,펜션,11,2,10,4.9,가능,33.21344,126.241704
J012,윤슬 테라스,대정읍,펜션,17,1,,2,불가,33.214766,126.230491
J013,한라 포레스트,한림읍,호텔,29,1,4,2.8,가능,33.411975,126.276452
J014,구름 마루,대정읍,게스트하우스,4,1,4,2.2,가능,33.2186,126.261599
J015,해돋이 홈,표선면,호텔,32,2,6,3.7,가능,33.34259,126.85023
J016,달빛 빌리지,안덕면,펜션,20,4,7,1.4,가능,33.261855,126.321505
J017,구름 라운지,서귀포시,펜션,15,3,6,4.3,가능,33.255946,126.581423
J018,소담 빌리지,조천읍,펜션,,1,10,3,가능,33.535438,126.652769
J019,귤꽃 포레스트,서귀포시,리조트,22,,8,3.4,불가,33.26196,
J020,푸른섬 포레스트,대정읍,독채,30,4,11,2.7,가능,33.240075,126.267058
J021,귤꽃 힐,애월읍,한옥스테이,27,1,2,2.3,가능,33.445644,126.341428
J022,파도 오션,표선면,한옥스테이,15,3,3,4.5,가능,,
J023,구름 베이,남원읍,펜션,22,4,5,2.1,가능,33.2831,126.718479
J024,돌담 오션,대정읍,펜션,8,4,6,1,불가,33.236727,126.244074
J025,파도 마루,조천읍,펜션,26,3,5,1.6,가능,33.545937,126.65471
J026,소담 베이,한림읍,독채,35,3,4,1.6,가능,33.394278,126.288334
J027,푸른섬 플레이스,중문동,,10,2,9,2.7,불가,33.244013,126.387327
J028,돌담 베이,중문동,리조트,33,3,6,3,가능,33.234185,126.41646
J029,노을 홈,구좌읍,리조트,31,2,2,4.3,불가,33.514562,126.87214
J030,윤슬 리브,서귀포시,호텔,25,3,4,2.3,가능,33.243275,126.547716
J031,노을 라운지,한림읍,독채,17,4,11,1.1,가능,33.420699,126.290677
J032,윤슬 포레스트,대정읍,게스트하우스,9,1,2,3.2,불가,33.218678,126.227782
J033,별빛 스테이,조천읍,펜션,10,2,5,1.7,가능,33.522557,126.618425
J034,구름 홈,중문동,독채,14,3,6,4.7,가능,,126.43248
J035,푸른섬 코티지,서귀포시,펜션,26,3,5,3.2,가능,33.258643,126.566036
J036,바다빛 라운지,제주시,리조트,40,3,7,4.9,가능,33.493715,126.51982
J037,해돋이 테라스,서귀포시,펜션,20,1,7,2.7,불가,33.253629,126.561785
J038,한라 빌리지,중문동,펜션,16,3,8,3.8,가능,33.236531,126.397834
J039,바다빛 쉼터,성산읍,펜션,16,1,8,2.2,가능,33.429159,
J040,해돋이 스테이,한림읍,독채,16,5,9,2.7,가능,33.403203,126.255476
J041,별빛 빌리지,서귀포시,한옥스테이,13,1,7,3.9,가능,33.25256,126.582943
J042,해돋이 오션,조천읍,호텔,20,2,4,2.8,가능,33.544358,126.631818
J043,오름 오션,조천읍,호텔,,3,4,1.8,가능,33.536238,126.642253
J044,해안 마루,제주시,호텔,17,3,3,5,가능,33.516443,126.519855
J045,한라 오션,조천읍,독채,29,4,6,1.4,가능,33.542764,126.628772
J046,오름 홈,안덕면,게스트하우스,3,2,2,4.9,가능,33.259582,126.351306
J047,별빛 테라스,애월읍,한옥스테이,24,2,,2.3,가능,33.461736,126.351444
J048,별빛 정원,표선면,펜션,28,3,9,1.3,가능,33.325032,126.811343
J049,달빛 라운지,남원읍,펜션,25,4,4,1.9,불가,33.285641,126.714488
J050,귤꽃 라운지,중문동,리조트,29,2,8,3.8,가능,33.26147,126.423743
J051,바다빛 빌리지,안덕면,,17,3,4,2.4,가능,33.272169,126.326969
J052,봄날 라운지,중문동,리조트,30,1,5,1.3,가능,33.247235,126.39672
J053,윤슬 홈,성산읍,독채,15,2,11,2.8,가능,33.426251,126.935949
J054,귤꽃 쉼터,구좌읍,게스트하우스,7,2,2,2.5,가능,,126.871729
J055,산호 오션,한림읍,독채,15,3,12,1.5,가능,33.422828,126.289171
J056,해안 빌리지,애월읍,게스트하우스,6,2,4,2.8,가능,,126.318785
J057,노을 테라스,안덕면,펜션,23,3,5,1.4,가능,,
J058,푸른섬 테라스,성산읍,게스트하우스,7,1,1,3.7,불가,33.427721,126.920311
J059,산호 힐,성산읍,호텔,25,1,6,4.7,가능,33.431976,126.939902
J060,달빛 마루,애월읍,한옥스테이,26,1,8,1.6,가능,33.454435,126.323857
J061,해안 플레이스,남원읍,독채,21,3,12,3.2,불가,33.290443,126.740061
J062,달빛 코티지,애월읍,독채,26,3,8,1.5,불가,33.453391,126.338857
J063,산호 포레스트,서귀포시,호텔,,1,5,3.5,가능,33.249815,126.583262
J064,오름 정원,애월읍,펜션,10,3,9,2.7,가능,33.453809,126.324882
J065,초록 하우스,대정읍,펜션,25,3,9,4.4,가능,33.243917,126.266991
J066,달빛 오션,표선면,한옥스테이,11,,5,4.6,가능,33.315581,126.836203
J067,오름 라운지,중문동,호텔,19,2,3,4.5,가능,33.2495,126.40138
J068,바다빛 포레스트,남원읍,독채,31,2,8,1.2,가능,33.264955,126.715498
J069,달빛 베이,안덕면,독채,18,4,12,4.7,가능,33.244032,126.306428
J070,푸른섬 홈,구좌읍,,15,4,9,4.3,가능,33.525324,126.837201
J071,바람 마루,조천읍,호텔,34,1,6,1.8,불가,33.530555,126.645885
J072,소담 하우스,안덕면,펜션,17,4,4,3,가능,33.274856,126.326796
J073,돌담 라운지,서귀포시,한옥스테이,22,1,8,4.2,가능,33.258353,126.57502
J074,달빛 하우스,표선면,독채,12,,11,2.1,가능,,
J075,해돋이 포레스트,성산읍,호텔,21,3,4,3.5,가능,,126.931152
J076,오름 쉼터,안덕면,독채,15,4,8,2,가능,33.24323,126.325588
J077,오름 힐,성산읍,펜션,16,4,5,4.3,불가,33.454298,126.940892
J078,돌담 스테이,조천읍,펜션,28,2,9,1.8,가능,33.533278,126.643875
J079,동백 힐,한림읍,펜션,17,1,10,1.7,가능,33.410142,126.268326
J080,귤꽃 오션,안덕면,리조트,29,4,8,1.7,가능,33.266728,126.339135
J081,봄날 스테이,구좌읍,독채,14,2,7,1.2,가능,33.538962,126.852684
J082,구름 하우스,중문동,게스트하우스,,1,3,1.9,가능,33.249147,126.420589
J083,돌담 코티지,서귀포시,펜션,26,2,9,4.6,가능,33.240819,126.544707
J084,파도 포레스트,제주시,,22,3,5,2.4,불가,33.495877,126.536662
J085,해안 라운지,안덕면,펜션,24,4,7,4.2,가능,33.265956,126.342848
J086,소담 마루,한림읍,독채,21,3,12,4.2,가능,33.412441,126.266059
J087,바다빛 하우스,성산읍,리조트,31,4,6,4.4,가능,33.427385,126.939069
J088,바람 정원,조천읍,한옥스테이,13,2,6,3.9,가능,33.545109,126.638965
J089,바람 리브,조천읍,독채,24,5,8,3.6,가능,33.549399,126.649023
J090,돌담 테라스,애월읍,독채,30,3,5,1.4,불가,,
J091,귤꽃 하우스,안덕면,게스트하우스,5,1,1,3.4,가능,,
J092,구름 오션,조천읍,한옥스테이,19,2,7,1.7,불가,33.537995,126.628628
J093,파도 테라스,남원읍,펜션,26,1,9,4.9,가능,33.28921,126.741556
J094,소담 스테이,제주시,독채,,2,8,1.2,가능,33.504807,126.522144
J095,소담 코티지,표선면,게스트하우스,5,1,2,2.3,가능,33.32613,126.84455
J096,구름 리브,한림읍,게스트하우스,5,1,3,3.7,가능,33.408921,126.268377
J097,동백 마루,한림읍,한옥스테이,11,3,3,3.7,가능,33.398935,126.291203
J098,산호 라운지,표선면,호텔,14,2,5,3.7,가능,33.342551,126.826035
J099,달빛 스테이,한림읍,펜션,9,2,2,3.3,가능,33.392575,126.253209
J100,봄날 테라스,구좌읍,펜션,21,1,6,2.8,가능,33.524415,126.849063
