숙소번호,숙소명,지역,숙소종류,1박가격(만원),방개수,최대수용인원,평점,예약상태,lat,lon
J002,노을 마루,대정읍,독채,38.0,3.0,10.0,3.4,가능,33.230335,126.245639
J003,해돋이 힐,대정읍,호텔,15.0,1.0,3.0,4.5,가능,33.209233,126.236604
J004,한라 스테이,남원읍,한옥스테이,19.0,3.0,,3.7,가능,33.274638,126.71364
J005,오름 마루,중문동,펜션,14.0,1.0,2.0,1.8,불가능,,
J006,해돋이 쉼터,제주시,독채,22.0,2.0,7.0,4.7,불가능,33.490281,126.553969
J007,귤꽃 코티지,제주시,,22.0,,4.0,2.1,가능,33.509446,126.536952
J008,해돋이 하우스,남원읍,펜션,28.0,3.0,3.0,3.1,가능,33.293772,126.722981
J009,돌담 하우스,중문동,독채,36.0,5.0,5.0,4.1,불가능,33.261176,126.410256
J010,오름 빌리지,중문동,독채,16.0,2.0,10.0,3.1,가능,33.238343,126.400413
J011,노을 정원,대정읍,펜션,11.0,2.0,10.0,4.9,가능,33.21344,126.241704
J012,윤슬 테라스,대정읍,펜션,17.0,1.0,,2.0,불가능,33.214766,126.230491
J013,한라 포레스트,한림읍,호텔,29.0,1.0,4.0,2.8,가능,33.411975,126.276452
J014,구름 마루,대정읍,게스트하우스,4.0,1.0,4.0,2.2,가능,33.2186,126.261599
J015,해돋이 홈,표선면,호텔,32.0,2.0,6.0,3.7,가능,33.34259,126.85023
J016,달빛 빌리지,안덕면,펜션,20.0,4.0,7.0,1.4,가능,33.261855,126.321505
J017,구름 라운지,서귀포시,펜션,15.0,3.0,6.0,4.3,가능,33.255946,126.581423
J018,소담 빌리지,조천읍,펜션,,1.0,10.0,3.0,가능,33.535438,126.652769
J019,귤꽃 포레스트,서귀포시,리조트,22.0,,8.0,3.4,불가능,33.26196,
J020,푸른섬 포레스트,대정읍,독채,30.0,4.0,11.0,2.7,가능,33.240075,126.267058
J021,귤꽃 힐,애월읍,한옥스테이,27.0,1.0,2.0,2.3,가능,33.445644,126.341428
J022,파도 오션,표선면,한옥스테이,15.0,3.0,3.0,4.5,가능,,
J023,구름 베이,남원읍,펜션,22.0,4.0,5.0,2.1,가능,33.2831,126.718479
J024,돌담 오션,대정읍,펜션,8.0,4.0,6.0,1.0,불가능,33.236727,126.244074
J025,파도 마루,조천읍,펜션,26.0,3.0,5.0,1.6,가능,33.545937,126.65471
J026,소담 베이,한림읍,독채,35.0,3.0,4.0,1.6,가능,33.394278,126.288334
J027,푸른섬 플레이스,중문동,,10.0,2.0,9.0,2.7,불가능,33.244013,126.387327
J028,돌담 베이,중문동,리조트,33.0,3.0,6.0,3.0,가능,33.234185,126.41646
J029,노을 홈,구좌읍,리조트,31.0,2.0,2.0,4.3,불가능,33.514562,126.87214
J030,윤슬 리브,서귀포시,호텔,25.0,3.0,4.0,2.3,가능,33.243275,126.547716
J031,노을 라운지,한림읍,독채,17.0,4.0,11.0,1.1,가능,33.420699,126.290677
J032,윤슬 포레스트,대정읍,게스트하우스,9.0,1.0,2.0,3.2,불가능,33.218678,126.227782
J033,별빛 스테이,조천읍,펜션,10.0,2.0,5.0,1.7,가능,33.522557,126.618425
J034,구름 홈,중문동,독채,14.0,3.0,6.0,4.7,가능,,126.43248
J035,푸른섬 코티지,서귀포시,펜션,26.0,3.0,5.0,3.2,가능,33.258643,126.566036
J036,바다빛 라운지,제주시,리조트,40.0,3.0,7.0,4.9,가능,33.493715,126.51982
J037,해돋이 테라스,서귀포시,펜션,20.0,1.0,7.0,2.7,불가능,33.253629,126.561785
J038,한라 빌리지,중문동,펜션,16.0,3.0,8.0,3.8,가능,33.236531,126.397834
J039,바다빛 쉼터,성산읍,펜션,16.0,1.0,8.0,2.2,가능,33.429159,
J040,해돋이 스테이,한림읍,독채,16.0,5.0,9.0,2.7,가능,33.403203,126.255476
J041,별빛 빌리지,서귀포시,한옥스테이,13.0,1.0,7.0,3.9,가능,33.25256,126.582943
J042,해돋이 오션,조천읍,호텔,20.0,2.0,4.0,2.8,가능,33.544358,126.631818
J043,오름 오션,조천읍,호텔,,3.0,4.0,1.8,가능,33.536238,126.642253
J044,해안 마루,제주시,호텔,17.0,3.0,3.0,5.0,가능,33.516443,126.519855
J045,한라 오션,조천읍,독채,29.0,3.0,10.0,1.4,가능,,
J046,오름 홈,안덕면,게스트하우스,3.0,2.0,2.0,4.9,가능,33.259582,126.351306
J047,별빛 테라스,애월읍,한옥스테이,24.0,2.0,,2.3,가능,33.461736,126.351444
J048,별빛 정원,표선면,펜션,28.0,3.0,9.0,1.3,가능,33.325032,126.811343
J049,달빛 라운지,남원읍,펜션,25.0,4.0,4.0,1.9,불가능,,
J050,귤꽃 라운지,중문동,리조트,29.0,2.0,8.0,3.8,가능,33.26147,126.423743
J051,바다빛 빌리지,안덕면,,17.0,3.0,4.0,2.4,가능,33.272169,126.326969
J052,봄날 라운지,중문동,리조트,30.0,1.0,5.0,1.3,가능,33.247235,126.39672
J053,윤슬 홈,성산읍,독채,15.0,2.0,11.0,2.8,가능,33.426251,126.935949
J054,귤꽃 쉼터,구좌읍,게스트하우스,7.0,2.0,2.0,2.5,가능,,126.871729
J055,산호 오션,한림읍,독채,15.0,3.0,12.0,1.5,가능,33.422828,126.289171
J056,해안 빌리지,애월읍,게스트하우스,6.0,2.0,4.0,2.8,가능,,126.318785
J057,노을 테라스,안덕면,펜션,23.0,3.0,5.0,1.4,가능,,
J058,푸른섬 테라스,성산읍,게스트하우스,7.0,1.0,1.0,3.7,불가능,33.427721,126.920311
J059,산호 힐,성산읍,호텔,25.0,1.0,6.0,4.7,가능,33.431976,126.939902
J060,달빛 마루,애월읍,한옥스테이,26.0,1.0,8.0,1.6,가능,33.454435,126.323857
J061,해안 플레이스,남원읍,독채,21.0,3.0,12.0,3.2,불가능,33.290443,126.740061
J062,달빛 코티지,애월읍,독채,26.0,3.0,8.0,1.5,불가능,33.453391,126.338857
J063,산호 포레스트,서귀포시,호텔,,1.0,5.0,3.5,가능,33.249815,126.583262
J064,오름 정원,애월읍,펜션,10.0,3.0,9.0,2.7,가능,33.453809,126.324882
J065,초록 하우스,대정읍,펜션,25.0,3.0,9.0,4.4,가능,33.243917,126.266991
