상품코드,상품명,분류,가격,재고,안전재고
P001,제육볶음 도시락,즉석식품,5900,25,14
P002,불고기 도시락,즉석식품,6200,17,12
P003,치킨마요 도시락,즉석식품,5500,47,15
P004,돈가스 도시락,즉석식품,6500,29,10
P005,김치볶음밥 도시락,즉석식품,5200,9,12
P006,참치마요 삼각김밥,즉석식품,1500,22,20
P007,전주비빔 삼각김밥,즉석식품,1600,18,18
P008,불고기 삼각김밥,즉석식품,1700,33,16
P009,매콤참치 삼각김밥,즉석식품,1600,2,15
P010,햄참치 김밥,즉석식품,3200,16,14
P011,치즈김밥,즉석식품,3500,14,12
P012,불고기 김밥,즉석식품,3800,49,10
P013,에그햄 샌드위치,즉석식품,3600,49,12
P014,치킨 샌드위치,즉석식품,4200,9,9
P015,햄치즈 샌드위치,즉석식품,3900,42,10
P016,매운맛 컵라면,즉석식품,1800,50,18
P017,순한맛 컵라면,즉석식품,1700,34,14
P018,짜장 컵라면,즉석식품,1900,3,13
P019,김치 컵라면,즉석식품,1800,11,12
P020,우동 컵라면,즉석식품,2200,7,9
P021,봉지라면 매운맛,즉석식품,1100,14,14
P022,봉지라면 순한맛,즉석식품,1000,31,10
P023,짜장 봉지라면,즉석식품,1200,35,9
P024,떡볶이 컵,즉석식품,3500,6,10
P025,치즈 떡볶이 컵,즉석식품,3900,29,8
P026,즉석 어묵탕,즉석식품,4200,38,6
P027,즉석 미역국,즉석식품,3500,0,5
P028,즉석 육개장,즉석식품,4500,10,7
P029,즉석밥,즉석식품,2100,38,12
P030,카레 덮밥소스,즉석식품,2900,13,6
P031,생수 500ml,음료,1000,26,20
P032,생수 2L,음료,1800,49,16
P033,탄산수 플레인,음료,1500,24,10
P034,콜라 500ml,음료,2300,43,18
P035,사이다 500ml,음료,2300,17,15
P036,제로 콜라 500ml,음료,2400,5,16
P037,오렌지주스 300ml,음료,2200,25,10
P038,포도주스 300ml,음료,2200,15,8
P039,사과주스 300ml,음료,2100,4,8
P039,사과주스 300ml,음료,2100,4,8
P040,스포츠음료 500ml,음료,2200,20,14
P041,에너지음료 250ml,음료,2500,8,9
P042,비타민음료,음료,1500,11,10
P043,식혜 캔,음료,1600,6,7
P044,커피우유,유제품,1800,9,13
P045,딸기우유,유제품,1800,8,12
P046,초코우유,유제품,1800,37,14
P047,흰우유 500ml,유제품,2100,16,13
P048,마시는 요구르트,유제품,1700,24,10
P049,아메리카노 캔커피,음료,1800,18,15
P050,라떼 컵커피,음료,2800,21,12
P050,라떼 컵커피,음료,2800,21,12
P051,감자칩 오리지널,과자,2000,15,12
P052,감자칩 양파맛,과자,2000,42,9
P053,옥수수 스낵,과자,1700,44,10
P054,새우 스낵,과자,1800,1,11
P055,매운 스낵,과자,1800,48,8
P056,쌀과자,과자,2000,9,7
P057,초코파이,과자,4800,49,7
P058,버터쿠키,과자,2500,5,6
P059,초코쿠키,과자,2200,27,8
P060,크래커,과자,1800,46,7
P061,밀크 초콜릿,과자,2000,34,10
P062,아몬드 초콜릿,과자,2500,26,8
P063,초코바,과자,1500,10,11
P064,과일맛 젤리,과자,1800,17,10
P065,콜라맛 젤리,과자,1800,10,8
P066,막대사탕,과자,700,38,8
P067,민트 캔디,과자,1500,17,6
P068,껌,과자,1200,50,9
P069,견과류 한 봉,과자,2500,7,7
P070,육포,과자,4500,9,5
P071,단팥빵,베이커리,1800,40,8
P072,크림빵,베이커리,1900,4,8
P073,소보로빵,베이커리,1800,5,7
P074,치즈케이크 조각,베이커리,3800,10,5
P075,초코케이크 조각,베이커리,3900,33,5
P076,커스터드 푸딩,베이커리,2200,13,7
P077,플레인 요거트,유제품,1700,10,8
P078,과일 요거트,유제품,1900,47,8
P079,바닐라 바 아이스크림,냉동식품,1500,18,10
P080,초코 바 아이스크림,냉동식품,1500,24,11
P081,딸기 콘 아이스크림,냉동식품,2200,6,8
P082,초코 콘 아이스크림,냉동식품,2200,25,9
P083,컵 아이스크림 바닐라,냉동식품,3000,23,7
P084,컵 아이스크림 초코,냉동식품,3000,10,7
P085,빙수 아이스크림,냉동식품,3500,34,6
P086,휴대용 티슈,생활용품,1500,41,6
P087,물티슈 소형,생활용품,2000,9,7
P088,종이컵 20개입,생활용품,2500,24,4
P089,일회용 젓가락,생활용품,1200,8,4
P090,위생마스크 5매,위생용품,3000,4,5
P091,칫솔,생활용품,2500,9,4
P092,치약 소형,생활용품,2200,8,4
P093,면도기,생활용품,3000,31,3
P095,건전지 AA 2개입,생활용품,3500,27,4
P079,바닐라 바 아이스크림,냉동식품,1500,18,10
P096,볼펜,생활용품,1000,39,4
P097,노트 소형,생활용품,1800,2,3
P098,우산,생활용품,8000,7,3
P099,고양이 간식,기타,2500,3,4
P100,강아지 간식,기타,2500,22,4
P101,냉동 만두,냉동식품,5500,2,1
P102,얼음,냉동식품,1500,5,3
P103,냉동 블루베리,냉동식품,3000,2,1
