판매일자,상품코드,가격,판매수량
2026-08-26,P045,1800,8
2026-08-27,P024,3500,11
2026-08-27,P017,1700,11
2026-08-27,P070,4500,4
2026-08-27,P089,1200,12
2026-08-27,P099,2500,4
2026-08-28,P099,2500,5
2026-08-29,P024,3500,9
2026-08-29,P097,1800,13
2026-08-30,P076,2200,5
2026-08-30,P049,1800,14
2026-08-30,P010,3200,10
2026-08-30,P048,1700,12
2026-08-30,P100,2500,9
2026-08-31,P081,2200,9
2026-08-31,P008,1700,6
2026-08-31,P073,1800,13
2026-08-31,P093,3000,6
2026-09-01,P060,1800,7
2026-09-01,P029,2100,2
2026-09-01,P017,1700,6
2026-09-01,P085,3500,3
2026-09-02,P066,700,9
2026-09-02,P091,2500,4
2026-09-03,P064,1800,13
2026-09-03,P023,1200,3
2026-09-03,P011,3500,6
2026-09-04,P043,1600,15
2026-09-04,P069,2500,6
2026-09-04,P065,1800,6
2026-09-05,P032,1800,5
2026-09-05,P015,3900,2
2026-09-05,P081,2200,5
2026-09-05,P055,1800,7
2026-09-05,P036,2400,11
2026-09-07,P055,1800,3
2026-09-07,P085,3500,8
2026-09-07,P022,1000,5
2026-09-08,P030,2900,9
2026-09-08,P081,2200,6
2026-09-09,P013,3600,9
2026-09-09,P069,2500,2
2026-09-09,P099,2500,5
2026-09-09,P027,3500,4
2026-09-09,P090,3000,11
2026-09-09,P099,2500,4
2026-09-10,P086,1500,9
2026-09-10,P100,2500,5
2026-09-10,P020,2200,9
2026-09-10,P050,2800,5
