상품코드,상품명,분류,가격,재고,최소재고
P001,참치마요 삼각김밥,즉석식품,1500,45,10
P002,불닭볶음면,라면,1700,60,15
P003,신라면,라면,1400,55,15
P004,초코파이,과자,4200,30,8
P005,새우깡,과자,1700,40,10
P006,포카칩,과자,2000,35,10
P007,코카콜라 500ml,음료,2200,80,20
P008,칠성사이다 500ml,음료,2200,70,20
P009,삼다수 2L,음료,1600,50,15
P010,바나나우유,유제품,1800,25,8
P011,딸기우유,유제품,1800,22,8
P012,육개장,라면,1300,48,12
P013,핫바,즉석식품,1500,33,10
P014,즉석밥,즉석식품,1900,28,8
P015,계란빵,베이커리,2000,15,5
P016,단팥빵,베이커리,1800,18,5
P017,크림빵,베이커리,1700,20,5
P018,초코우유,유제품,1800,24,8
P019,핫식스,음료,2500,45,10
P020,레드불,음료,3200,30,8
P021,자일리톨껌,과자,1200,50,15
P022,오레오,과자,2300,27,8
P023,츄파춥스,과자,700,60,20
P024,라이터,생활용품,1000,40,10
P025,AA건전지,생활용품,3000,20,5
P026,우산,생활용품,8000,10,3
P027,마스크,생활용품,1500,35,10
P028,물티슈,생활용품,2500,25,8
P029,즉석국밥,즉석식품,4500,12,4
P030,제육볶음 도시락,즉석식품,4800,15,5
